"created_at","stage"
"2023-03-28 5:00:00","1"
"2023-03-27 16:00:00","3"
"2023-03-27 5:00:00","2"
"2023-03-26 16:00:00","1"
"2023-03-26 5:00:00","0"
"2023-03-25 16:00:00","2"
"2023-03-25 5:00:00","1"
"2023-03-24 5:00:00","2"
"2023-03-23 16:00:00","3"
"2023-03-23 5:00:00","2"
"2023-03-22 16:00:00","3"
"2023-03-22 5:00:00","2"
"2023-03-20 11:00:00","0"
"2023-03-20 5:00:00","1"
"2023-03-19 5:00:00","0"
"2023-03-18 5:00:00","1"
"2023-03-17 12:00:00","2"
"2023-03-15 5:00:00","3"
"2023-03-12 16:00:00","4"
"2023-03-12 5:00:00","1"
"2023-03-11 5:00:00","3"
"2023-03-08 5:00:00","4"
"2023-03-07 16:00:00","5"
"2023-03-07 5:00:00","4"
"2023-03-06 16:00:00","5"
"2023-03-05 16:00:00","4"
"2023-03-05 5:00:00","2"
"2023-03-04 16:00:00","4"
"2023-03-04 5:00:00","3"
"2023-03-03 5:00:00","4"
"2023-03-02 16:00:00","5"
"2023-03-02 5:00:00","4"
"2023-03-01 16:00:00","5"
"2023-02-28 16:00:00","4"
"2023-02-28 5:00:00","3"
"2023-02-27 16:00:00","5"
"2023-02-26 9:00:00","4"
"2023-02-26 5:00:00","5"
"2023-02-19 20:00:00","6"
"2023-02-19 5:00:00","4"
"2023-02-18 20:00:00","6"
"2023-02-17 16:00:00","4"
"2023-02-17 5:00:00","3"
"2023-02-16 16:00:00","4"
"2023-02-16 5:00:00","3"
"2023-02-15 16:00:00","4"
"2023-02-15 5:00:00","3"
"2023-02-14 16:00:00","4"
"2023-02-14 5:00:00","3"
"2023-02-13 16:00:00","4"
"2023-02-12 16:00:00","3"
"2023-02-12 5:00:00","2"
"2023-02-11 5:00:00","3"
"2023-02-10 16:00:00","4"
"2023-02-10 5:00:00","3"
"2023-02-09 16:00:00","4"
"2023-02-09 5:00:00","3"
"2023-02-08 16:00:00","4"
"2023-02-08 5:00:00","3"
"2023-02-07 16:00:00","4"
"2023-02-07 5:00:00","3"
"2023-02-06 16:00:00","4"
"2023-02-06 5:00:00","3"
"2023-02-05 16:00:00","2"
"2023-02-05 5:00:00","0"
"2023-02-04 5:00:00","3"
"2023-02-03 5:00:00","4"
"2023-02-01 5:00:00","5"
"2023-01-31 21:00:00","6"
"2023-01-31 12:00:00","5"
"2023-01-29 16:00:00","4"
"2023-01-29 5:00:00","2"
"2023-01-28 16:00:00","4"
"2023-01-28 5:00:00","3"
"2023-01-27 5:00:00","4"
"2023-01-26 5:00:00","5"
"2023-01-25 16:00:00","4"
"2023-01-25 5:00:00","3"
"2023-01-24 16:00:00","4"
"2023-01-24 5:00:00","3"
"2023-01-23 16:00:00","4"
"2023-01-22 16:00:00","3"
"2023-01-22 5:00:00","2"
"2023-01-21 16:00:00","4"
"2023-01-21 5:00:00","3"
"2023-01-20 5:00:00","4"
"2023-01-19 16:00:00","5"
"2023-01-19 5:00:00","4"
"2023-01-18 16:00:00","5"
"2023-01-18 5:00:00","4"
"2023-01-17 16:00:00","5"
"2023-01-17 5:00:00","4"
"2023-01-11 16:00:00","6"
"2023-01-11 5:00:00","4"
"2023-01-10 21:00:00","6"
"2023-01-10 16:00:00","4"
"2023-01-10 5:00:00","3"
"2023-01-09 16:00:00","4"
"2023-01-09 5:00:00","3"
"2023-01-08 16:00:00","4"
"2023-01-08 5:00:00","3"
"2023-01-07 16:00:00","4"
"2023-01-07 5:00:00","3"
"2023-01-06 16:00:00","4"
"2023-01-06 5:00:00","3"
"2023-01-05 16:00:00","4"
"2023-01-04 16:00:00","3"
"2022-12-31 5:00:00","2"
"2022-12-30 16:00:00","4"
"2022-12-30 5:00:00","3"
"2022-12-29 16:00:00","4"
"2022-12-29 5:00:00","3"
"2022-12-28 16:10:00","4"
"2022-12-28 16:00:00","3"
"2022-12-28 5:00:00","2"
"2022-12-27 16:00:00","3"
"2022-12-26 5:00:00","1"
"2022-12-25 5:00:00","0"
"2022-12-24 5:00:00","3"
"2022-12-21 5:00:00","4"
"2022-12-20 20:00:00","6"
"2022-12-20 5:00:00","4"
"2022-12-19 5:00:00","5"
"2022-12-16 8:44:00","6"
"2022-12-15 5:00:00","4"
"2022-12-10 13:24:00","5"
"2022-12-10 5:00:00","4"
"2022-12-09 5:00:00","5"
"2022-12-07 12:00:00","6"
"2022-12-07 9:00:00","4"
"2022-12-07 5:00:00","2"
"2022-12-06 16:00:00","3"
"2022-12-06 5:00:00","2"
"2022-12-05 5:00:00","3"
"2022-12-03 22:06:00","4"
"2022-12-02 16:00:00","2"
"2022-12-02 5:00:00","0"
"2022-12-01 16:00:00","2"
"2022-12-01 5:00:00","0"
"2022-11-30 16:00:00","2"
"2022-11-30 5:00:00","0"
"2022-11-29 16:00:00","2"
"2022-11-29 5:00:00","0"
"2022-11-28 16:00:00","2"
"2022-11-28 5:00:00","1"
"2022-11-28 0:00:00","0"
"2022-11-25 5:00:00","2"
"2022-11-24 16:00:00","3"
"2022-11-24 5:00:00","2"
"2022-11-23 16:01:00","4"
"2022-11-23 5:00:00","2"
"2022-11-22 16:00:00","4"
"2022-11-22 5:00:00","2"
"2022-11-20 17:00:00","4"
"2022-11-20 8:54:00","0"
"2022-11-18 6:01:00","4"
"2022-11-18 5:00:00","2"
"2022-11-17 16:00:00","3"
"2022-11-17 5:00:00","2"
"2022-11-16 16:00:00","3"
"2022-11-15 5:00:00","2"
"2022-11-14 16:00:00","3"
"2022-11-08 9:00:00","2"
"2022-11-08 5:00:00","0"
"2022-11-07 16:00:00","2"
"2022-11-06 12:09:00","0"
"2022-11-06 5:00:00","1"
"2022-11-05 16:00:00","2"
"2022-11-05 5:00:00","1"
"2022-11-04 16:00:00","2"
"2022-11-04 5:00:00","1"
"2022-11-03 16:00:00","2"
"2022-11-03 5:00:00","1"
"2022-11-02 16:00:00","2"
"2022-11-02 5:00:00","1"
"2022-11-01 16:00:00","2"
"2022-11-01 5:00:00","0"
"2022-10-31 5:00:00","2"
"2022-10-29 0:00:00","0"
"2022-10-28 16:00:00","3"
"2022-10-28 5:00:00","2"
"2022-10-27 16:00:00","4"
"2022-10-27 5:00:00","3"
"2022-10-26 16:00:00","4"
"2022-10-26 5:00:00","3"
"2022-10-25 16:00:00","4"
"2022-10-25 5:00:00","3"
"2022-10-24 16:00:00","4"
"2022-10-24 5:00:00","3"
"2022-10-23 12:00:00","4"
"2022-10-19 16:00:00","3"
"2022-10-19 5:00:00","0"
"2022-10-19 0:00:00","2"
"2022-10-18 6:01:00","4"
"2022-10-18 0:00:00","0"
"2022-10-17 16:00:00","2"
"2022-10-17 0:00:00","0"
"2022-10-15 14:00:00","2"
"2022-10-15 0:00:00","0"
"2022-10-14 16:00:00","1"
"2022-10-14 0:01:00","0"
"2022-10-13 16:00:00","2"
"2022-10-13 0:00:00","0"
"2022-10-12 16:00:00","2"
"2022-10-12 0:00:00","0"
"2022-10-11 16:00:00","2"
"2022-10-11 0:00:00","0"
"2022-10-10 16:00:00","2"
"2022-10-08 5:00:00","0"
"2022-10-06 5:00:00","3"
"2022-10-04 18:00:00","4"
"2022-10-01 5:00:00","3"
"2022-09-28 16:00:00","4"
"2022-09-28 0:00:00","3"
"2022-09-27 16:01:00","4"
"2022-09-27 0:00:00","3"
"2022-09-26 16:00:00","4"
"2022-09-25 5:18:00","3"
"2022-09-24 4:59:00","4"
"2022-09-20 0:13:00","5"
"2022-09-18 4:49:00","6"
"2022-09-17 10:03:00","5"
"2022-09-13 10:03:00","4"
"2022-09-13 5:00:00","2"
"2022-09-12 5:00:00","3"
"2022-09-10 10:16:00","4"
"2022-09-09 14:00:00","3"
"2022-09-08 5:01:00","2"
"2022-09-07 22:01:00","0"
"2022-09-07 4:58:00","2"
"2022-09-06 22:02:00","0"
"2022-09-06 16:02:00","2"
"2022-08-18 23:42:00","0"
"2022-08-18 16:00:00","2"
"2022-08-18 0:02:00","0"
"2022-08-17 16:00:00","2"
"2022-08-17 0:02:00","0"
"2022-08-16 16:00:00","2"
"2022-08-06 21:02:00","0"
"2022-08-06 15:55:00","2"
"2022-08-06 0:04:00","0"
"2022-08-05 5:00:00","2"
"2022-08-05 0:00:00","0"
"2022-08-04 16:04:00","4"
"2022-08-04 5:01:00","2"
"2022-08-04 0:04:00","0"
"2022-08-03 16:04:00","2"
"2022-07-23 0:00:00","0"
"2022-07-22 16:00:00","1"
"2022-07-22 0:02:00","0"
"2022-07-21 16:00:00","2"
"2022-07-21 0:02:00","0"
"2022-07-20 16:00:00","2"
"2022-07-20 0:04:00","0"
"2022-07-19 16:04:00","2"
"2022-07-19 0:01:00","0"
"2022-07-18 16:00:00","2"
"2022-07-18 0:01:00","0"
"2022-07-17 16:01:00","2"
"2022-07-17 0:02:00","0"
"2022-07-16 16:01:00","2"
"2022-07-16 0:01:00","0"
"2022-07-15 14:23:00","6"
"2022-07-15 5:03:00","3"
"2022-07-15 0:01:00","0"
"2022-07-14 16:06:00","4"
"2022-07-14 5:02:00","3"
"2022-07-14 0:01:00","1"
"2022-07-13 5:03:00","3"
"2022-07-13 0:01:00","2"
"2022-07-12 5:01:00","4"
"2022-07-12 0:01:00","2"
"2022-07-11 4:55:00","4"
"2022-07-11 0:00:00","2"
"2022-07-10 16:04:00","4"
"2022-07-10 7:01:00","3"
"2022-07-10 0:17:00","2"
"2022-07-09 7:00:00","3"
"2022-07-08 23:42:00","2"
"2022-07-08 5:00:00","4"
"2022-07-08 0:00:00","2"
"2022-07-07 22:01:00","4"
"2022-07-07 15:46:00","5"
"2022-07-07 5:01:00","4"
"2022-07-07 0:01:00","2"
"2022-07-06 22:00:00","4"
"2022-07-06 15:47:00","5"
"2022-07-06 5:01:00","4"
"2022-07-05 23:59:00","2"
"2022-07-05 22:00:00","4"
"2022-07-05 15:58:00","5"
"2022-07-05 5:00:00","4"
"2022-07-05 0:01:00","2"
"2022-07-04 22:01:00","4"
"2022-07-04 16:00:00","6"
"2022-07-04 5:01:00","4"
"2022-07-04 0:00:00","2"
"2022-07-03 6:59:00","4"
"2022-07-02 22:01:00","2"
"2022-07-02 6:58:00","4"
"2022-07-01 22:11:00","2"
"2022-07-01 0:00:00","4"
"2022-06-30 14:03:00","6"
"2022-06-30 4:47:00","4"
"2022-06-29 23:47:00","2"
"2022-06-29 21:59:00","4"
"2022-06-29 16:02:00","6"
"2022-06-29 4:55:00","4"
"2022-06-28 23:47:00","2"
"2022-06-28 21:43:00","4"
"2022-06-28 16:01:00","6"
"2022-06-28 5:00:00","4"
"2022-06-28 0:04:00","0"
"2022-06-27 5:00:00","4"
"2022-06-27 0:01:00","0"
"2022-06-26 5:08:00","4"
"2022-06-26 0:01:00","0"
"2022-06-25 5:02:00","4"
"2022-06-25 0:02:00","0"
"2022-06-24 11:00:00","4"
"2022-06-24 5:02:00","2"
"2022-06-24 0:01:00","0"
"2022-06-23 5:01:00","2"
"2022-06-23 0:01:00","0"
"2022-06-22 10:06:00","2"
"2022-06-21 22:02:00","0"
"2022-06-21 17:01:00","2"
"2022-06-20 22:02:00","0"
"2022-06-20 17:00:00","2"
"2022-05-30 21:59:00","0"
"2022-05-30 16:59:00","2"
"2022-05-28 22:02:00","0"
"2022-05-28 17:02:00","1"
"2022-05-27 22:09:00","0"
"2022-05-27 16:56:00","2"
"2022-05-26 22:02:00","0"
"2022-05-26 17:12:00","2"
"2022-05-25 22:03:00","0"
"2022-05-25 17:01:00","2"
"2022-05-24 22:04:00","0"
"2022-05-24 17:03:00","2"
"2022-05-23 22:03:00","0"
"2022-05-23 17:04:00","2"
"2022-05-22 21:59:00","0"
"2022-05-22 16:02:00","3"
"2022-05-22 8:01:00","2"
"2022-05-21 22:01:00","0"
"2022-05-21 13:00:00","4"
"2022-05-21 8:02:00","2"
"2022-05-20 21:59:00","0"
"2022-05-20 17:02:00","2"
"2022-05-19 22:04:00","0"
"2022-05-19 16:58:00","2"
"2022-05-18 22:10:00","0"
"2022-05-18 16:59:00","2"
"2022-05-17 22:03:00","0"
"2022-05-17 17:03:00","3"
"2022-05-16 22:02:00","0"
"2022-05-16 16:59:00","4"
"2022-05-15 22:04:00","0"
"2022-05-15 17:03:00","2"
"2022-05-14 22:02:00","0"
"2022-05-14 17:03:00","2"
"2022-05-13 22:02:00","0"
"2022-05-13 16:58:00","1"
"2022-05-12 22:08:00","0"
"2022-05-12 16:58:00","2"
"2022-05-11 21:59:00","0"
"2022-05-11 16:57:00","2"
"2022-05-10 22:03:00","0"
"2022-05-10 17:01:00","2"
"2022-05-09 22:01:00","0"
"2022-05-09 17:01:00","2"
"2022-05-07 12:03:00","0"
"2022-05-06 22:08:00","1"
"2022-05-03 17:03:00","2"
"2022-04-22 22:05:00","0"
"2022-04-21 22:03:00","2"
"2022-04-20 22:04:00","3"
"2022-04-19 7:30:00","4"
"2022-04-17 15:59:00","2"
"2022-04-15 5:02:00","0"
"2022-04-12 17:02:00","2"
"2022-04-12 5:00:00","0"
"2022-04-11 18:12:00","2"
"2022-03-13 20:01:00","0"
"2022-03-11 5:31:00","2"
"2022-03-10 21:01:00","3"
"2022-03-09 8:49:00","4"
"2022-03-07 16:53:00","2"
"2022-02-08 5:00:00","0"
"2022-02-07 21:00:00","2"
"2022-02-06 21:00:00","0"
"2022-02-04 20:59:00","1"
"2022-02-02 11:01:00","2"
"2021-12-05 21:01:00","0"
"2021-12-04 21:01:00","2"
"2021-11-19 18:06:00","0"
"2021-11-19 4:50:00","1"
"2021-11-18 21:00:00","0"
"2021-11-17 14:00:00","2"
"2021-11-12 5:44:00","0"
"2021-11-11 12:10:00","2"
"2021-11-10 5:01:00","3"
"2021-11-08 13:02:00","4"
"2021-11-06 5:02:00","2"
"2021-11-05 14:00:00","4"
"2021-11-05 11:02:00","2"
"2021-11-03 5:03:00","0"
"2021-11-02 16:01:00","2"
"2021-10-29 20:01:00","0"
"2021-10-29 5:01:00","2"
"2021-10-28 21:02:00","3"
"2021-10-27 12:02:00","4"
"2021-10-26 9:01:00","2"
"2021-10-26 5:10:00","0"
"2021-10-25 18:00:00","2"
"2021-10-25 5:02:00","0"
"2021-10-23 21:01:00","2"
"2021-10-14 5:00:00","0"
"2021-10-08 21:00:00","2"
"2021-10-08 5:02:00","0"
"2021-10-07 21:03:00","2"
"2021-07-22 21:01:00","0"
"2021-07-22 16:11:00","2"
"2021-06-13 20:00:00","0"
"2021-06-13 17:10:00","1"
"2021-06-12 20:00:00","0"
"2021-06-12 16:50:00","1"
"2021-06-11 20:01:00","0"
"2021-06-10 22:04:00","2"
"2021-06-10 8:03:00","3"
"2021-06-09 22:01:00","2"
"2021-06-09 14:00:00","4"
"2021-06-09 10:02:00","2"
"2021-06-08 22:01:00","0"
"2021-06-08 17:00:00","2"
"2021-06-08 6:57:00","0"
"2021-06-07 17:02:00","1"
"2021-06-06 22:05:00","0"
"2021-06-06 17:02:00","1"
"2021-06-05 22:01:00","0"
"2021-06-04 17:02:00","2"
"2021-06-04 12:03:00","0"
"2021-06-02 10:00:00","2"
"2021-06-02 5:03:00","0"
"2021-06-01 16:01:00","2"
"2021-06-01 5:11:00","0"
"2021-05-31 16:00:00","2"
"2021-05-26 22:05:00","0"
"2021-05-26 17:09:00","1"
"2021-05-18 22:02:00","0"
"2021-05-18 17:00:00","1"
"2021-05-18 5:42:00","0"
"2021-05-16 17:35:00","2"
"2021-04-14 5:26:00","0"
"2021-04-13 21:01:00","2"
"2021-03-19 12:01:00","0"
"2021-03-18 14:04:00","2"
"2021-03-18 10:15:00","0"
"2021-03-17 21:04:00","2"
"2021-03-17 4:58:00","1"
"2021-03-10 17:00:00","2"
"2021-02-11 5:57:00","0"
"2021-02-10 12:57:00","3"
"2021-02-10 5:02:00","0"
"2021-02-09 21:58:00","2"
"2021-02-07 8:06:00","0"
"2021-02-05 14:21:00","2"
"2021-01-18 23:04:00","0"
"2021-01-18 21:05:00","1"
"2021-01-18 4:53:00","2"
"2021-01-17 22:59:00","1"
"2021-01-14 11:53:00","2"
"2021-01-08 5:01:00","0"
"2021-01-07 22:03:00","2"
"2021-01-07 6:01:00","0"
"2021-01-06 23:01:00","2"
"2020-12-31 5:07:00","0"
"2020-12-30 22:11:00","2"
"2020-12-30 5:07:00","0"
"2020-12-29 22:25:00","2"
"2020-12-12 23:02:00","0"
"2020-12-12 6:02:00","2"
"2020-09-07 22:03:00","0"
"2020-09-07 16:00:00","2"
"2020-09-07 8:00:00","1"
"2020-09-06 20:16:00","0"
"2020-09-06 12:00:00","1"
"2020-09-06 8:00:00","2"
"2020-09-05 22:00:00","0"
"2020-09-05 8:00:00","2"
"2020-09-04 21:12:00","0"
"2020-09-04 8:01:00","3"
"2020-09-03 22:04:00","0"
"2020-09-03 8:00:00","4"
"2020-09-02 22:21:00","0"
"2020-09-02 15:00:00","4"
"2020-09-02 8:00:00","2"
"2020-09-01 22:00:00","0"
"2020-09-01 12:00:00","2"
"2020-08-20 22:00:00","0"
"2020-08-20 9:02:00","2"
"2020-08-19 22:00:00","0"
"2020-08-19 9:00:00","2"
"2020-08-18 21:56:00","0"
"2020-08-18 16:01:00","2"
"2020-08-14 21:31:00","0"
"2020-08-14 17:00:00","1"
"2020-08-14 7:59:00","2"
"2020-08-13 22:02:00","0"
"2020-08-13 7:55:00","2"
"2020-07-16 21:15:00","0"
"2020-07-16 14:00:00","2"
"2020-07-16 9:00:00","1"
"2020-07-15 21:50:00","0"
"2020-07-15 14:01:00","2"
"2020-07-15 9:00:00","1"
"2020-07-14 21:57:00","0"
"2020-07-14 9:03:00","2"
"2020-07-13 22:01:00","0"
"2020-07-13 9:00:00","2"
"2020-07-12 22:00:00","0"
"2020-07-12 20:00:00","1"
"2020-07-12 7:59:00","2"
"2020-07-11 22:34:00","0"
"2020-07-11 9:04:00","2"
"2020-07-10 22:16:00","0"
"2020-07-10 12:16:00","2"
"2020-03-15 12:00:00","0"
"2020-03-15 7:00:00","1"
"2020-03-14 23:00:00","0"
"2020-03-14 12:12:00","1"
"2020-03-14 7:02:00","2"
"2020-03-13 23:00:00","0"
"2020-03-13 14:41:00","3"
"2020-03-11 9:53:00","4"
"2020-03-10 22:59:00","2"
"2020-03-10 14:01:00","4"
"2020-03-10 9:00:00","2"
"2020-03-10 5:00:00","0"
"2020-03-09 8:59:00","1"
"2020-02-22 17:00:00","0"
"2020-02-20 8:58:00","2"
"2020-02-16 21:00:00","0"
"2020-02-16 9:15:00","2"
"2020-02-15 8:58:00","3"
"2020-02-14 21:10:00","2"
"2020-02-11 21:00:00","0"
"2020-02-11 9:00:00","1"
"2020-02-11 6:00:00","0"
